stimulus_id,case_id,condition_id,strategic_domain,case_title,representation_condition,human_only_information_condition,ai_correctness_condition,stage1_common_evidence,stage1_prompt,stage1_response_options,stage1_confidence_scale,stage2_ai_recommendation,stage2_ai_confidence,stage2_prompt,stage3_additional_information,stage3_prompt,stage3_response_options,stage3_confidence_scale,criterion_correct_final_decision,criterion_rule_version,manipulation_status
MSOD06_C1,MSOD06,C1,Capacity expansion,New Production Capacity,low_qc_candidate,absent,correct,"Current capacity utilisation averages 86%. A new line requires ₹120 crore in capital expenditure. Base-case demand growth is forecast at 5% annually. The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,82,Review the AI recommendation before continuing.,No additional verified offtake commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD06_C2,MSOD06,C2,Capacity expansion,New Production Capacity,low_qc_candidate,absent,incorrect,"Current capacity utilisation averages 86%. A new line requires ₹120 crore in capital expenditure. Base-case demand growth is forecast at 5% annually. The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,82,Review the AI recommendation before continuing.,No additional verified offtake commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD06_C3,MSOD06,C3,Capacity expansion,New Production Capacity,low_qc_candidate,present,correct,"Current capacity utilisation averages 86%. A new line requires ₹120 crore in capital expenditure. Base-case demand growth is forecast at 5% annually. The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,82,Review the AI recommendation before continuing.,A major customer has signed a binding four-year offtake agreement covering 32% of the new line's planned output; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD06_C4,MSOD06,C4,Capacity expansion,New Production Capacity,low_qc_candidate,present,incorrect,"Current capacity utilisation averages 86%. A new line requires ₹120 crore in capital expenditure. Base-case demand growth is forecast at 5% annually. The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,82,Review the AI recommendation before continuing.,A major customer has signed a binding four-year offtake agreement covering 32% of the new line's planned output; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD06_C5,MSOD06,C5,Capacity expansion,New Production Capacity,high_qc_candidate,absent,correct,"Decision question: Does forecast demand growth justify ₹120 crore of new capacity when the expected IRR only modestly exceeds the hurdle rate and capacity arrives after 20 months?  Evidence: 1) Current capacity utilisation averages 86%. 2) A new line requires ₹120 crore in capital expenditure. 3) Base-case demand growth is forecast at 5% annually. 4) The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. 5) Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,82,Review the AI recommendation before continuing.,No additional verified offtake commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD06_C6,MSOD06,C6,Capacity expansion,New Production Capacity,high_qc_candidate,absent,incorrect,"Decision question: Does forecast demand growth justify ₹120 crore of new capacity when the expected IRR only modestly exceeds the hurdle rate and capacity arrives after 20 months?  Evidence: 1) Current capacity utilisation averages 86%. 2) A new line requires ₹120 crore in capital expenditure. 3) Base-case demand growth is forecast at 5% annually. 4) The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. 5) Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,82,Review the AI recommendation before continuing.,No additional verified offtake commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD06_C7,MSOD06,C7,Capacity expansion,New Production Capacity,high_qc_candidate,present,correct,"Decision question: Does forecast demand growth justify ₹120 crore of new capacity when the expected IRR only modestly exceeds the hurdle rate and capacity arrives after 20 months?  Evidence: 1) Current capacity utilisation averages 86%. 2) A new line requires ₹120 crore in capital expenditure. 3) Base-case demand growth is forecast at 5% annually. 4) The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. 5) Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,82,Review the AI recommendation before continuing.,A major customer has signed a binding four-year offtake agreement covering 32% of the new line's planned output; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD06_C8,MSOD06,C8,Capacity expansion,New Production Capacity,high_qc_candidate,present,incorrect,"Decision question: Does forecast demand growth justify ₹120 crore of new capacity when the expected IRR only modestly exceeds the hurdle rate and capacity arrives after 20 months?  Evidence: 1) Current capacity utilisation averages 86%. 2) A new line requires ₹120 crore in capital expenditure. 3) Base-case demand growth is forecast at 5% annually. 4) The expected project IRR is 11.2%, close to the firm's 10.5% hurdle rate. 5) Construction would take approximately 20 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,82,Review the AI recommendation before continuing.,A major customer has signed a binding four-year offtake agreement covering 32% of the new line's planned output; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C1,MSOD07,C1,Sustainability investment,Campus Rooftop Solar Programme,low_qc_candidate,absent,correct,The project requires ₹9.5 crore in capital expenditure. Modelled annual electricity-cost savings are ₹1.25 crore. The expected simple payback is approximately 7.6 years. Suitable roofs cover about 72% of the proposed installation area. The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,77,Review the AI recommendation before continuing.,No additional confirmed subsidy or financing concession is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C2,MSOD07,C2,Sustainability investment,Campus Rooftop Solar Programme,low_qc_candidate,absent,incorrect,The project requires ₹9.5 crore in capital expenditure. Modelled annual electricity-cost savings are ₹1.25 crore. The expected simple payback is approximately 7.6 years. Suitable roofs cover about 72% of the proposed installation area. The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,77,Review the AI recommendation before continuing.,No additional confirmed subsidy or financing concession is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C3,MSOD07,C3,Sustainability investment,Campus Rooftop Solar Programme,low_qc_candidate,present,correct,The project requires ₹9.5 crore in capital expenditure. Modelled annual electricity-cost savings are ₹1.25 crore. The expected simple payback is approximately 7.6 years. Suitable roofs cover about 72% of the proposed installation area. The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,77,Review the AI recommendation before continuing.,"A confirmed capital subsidy will cover 30% of eligible installation cost, reducing the institution's net capital requirement; this information was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C4,MSOD07,C4,Sustainability investment,Campus Rooftop Solar Programme,low_qc_candidate,present,incorrect,The project requires ₹9.5 crore in capital expenditure. Modelled annual electricity-cost savings are ₹1.25 crore. The expected simple payback is approximately 7.6 years. Suitable roofs cover about 72% of the proposed installation area. The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,77,Review the AI recommendation before continuing.,"A confirmed capital subsidy will cover 30% of eligible installation cost, reducing the institution's net capital requirement; this information was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C5,MSOD07,C5,Sustainability investment,Campus Rooftop Solar Programme,high_qc_candidate,absent,correct,Decision question: Do projected savings and strategic decarbonisation value justify the ₹9.5 crore solar investment given roof constraints and the 7.6-year simple payback?  Evidence: 1) The project requires ₹9.5 crore in capital expenditure. 2) Modelled annual electricity-cost savings are ₹1.25 crore. 3) The expected simple payback is approximately 7.6 years. 4) Suitable roofs cover about 72% of the proposed installation area. 5) The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,77,Review the AI recommendation before continuing.,No additional confirmed subsidy or financing concession is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C6,MSOD07,C6,Sustainability investment,Campus Rooftop Solar Programme,high_qc_candidate,absent,incorrect,Decision question: Do projected savings and strategic decarbonisation value justify the ₹9.5 crore solar investment given roof constraints and the 7.6-year simple payback?  Evidence: 1) The project requires ₹9.5 crore in capital expenditure. 2) Modelled annual electricity-cost savings are ₹1.25 crore. 3) The expected simple payback is approximately 7.6 years. 4) Suitable roofs cover about 72% of the proposed installation area. 5) The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,77,Review the AI recommendation before continuing.,No additional confirmed subsidy or financing concession is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C7,MSOD07,C7,Sustainability investment,Campus Rooftop Solar Programme,high_qc_candidate,present,correct,Decision question: Do projected savings and strategic decarbonisation value justify the ₹9.5 crore solar investment given roof constraints and the 7.6-year simple payback?  Evidence: 1) The project requires ₹9.5 crore in capital expenditure. 2) Modelled annual electricity-cost savings are ₹1.25 crore. 3) The expected simple payback is approximately 7.6 years. 4) Suitable roofs cover about 72% of the proposed installation area. 5) The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,77,Review the AI recommendation before continuing.,"A confirmed capital subsidy will cover 30% of eligible installation cost, reducing the institution's net capital requirement; this information was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD07_C8,MSOD07,C8,Sustainability investment,Campus Rooftop Solar Programme,high_qc_candidate,present,incorrect,Decision question: Do projected savings and strategic decarbonisation value justify the ₹9.5 crore solar investment given roof constraints and the 7.6-year simple payback?  Evidence: 1) The project requires ₹9.5 crore in capital expenditure. 2) Modelled annual electricity-cost savings are ₹1.25 crore. 3) The expected simple payback is approximately 7.6 years. 4) Suitable roofs cover about 72% of the proposed installation area. 5) The institution has a formal target to reduce grid electricity consumption.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,77,Review the AI recommendation before continuing.,"A confirmed capital subsidy will cover 30% of eligible installation cost, reducing the institution's net capital requirement; this information was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C1,MSOD08,C1,Pricing strategy,Premium Pricing Increase,low_qc_candidate,absent,correct,Management is considering a 12% list-price increase. Gross margin is currently 71%. Annual customer churn is 9%. A recent survey indicates moderate price sensitivity among small customers. Enterprise customers account for 64% of recurring revenue.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,75,Review the AI recommendation before continuing.,No additional verified renewal evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C2,MSOD08,C2,Pricing strategy,Premium Pricing Increase,low_qc_candidate,absent,incorrect,Management is considering a 12% list-price increase. Gross margin is currently 71%. Annual customer churn is 9%. A recent survey indicates moderate price sensitivity among small customers. Enterprise customers account for 64% of recurring revenue.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,75,Review the AI recommendation before continuing.,No additional verified renewal evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C3,MSOD08,C3,Pricing strategy,Premium Pricing Increase,low_qc_candidate,present,correct,Management is considering a 12% list-price increase. Gross margin is currently 71%. Annual customer churn is 9%. A recent survey indicates moderate price sensitivity among small customers. Enterprise customers account for 64% of recurring revenue.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,75,Review the AI recommendation before continuing.,A completed enterprise-customer renewal test shows 88% of enterprise revenue has already accepted the proposed price level for the next contract cycle; this evidence was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C4,MSOD08,C4,Pricing strategy,Premium Pricing Increase,low_qc_candidate,present,incorrect,Management is considering a 12% list-price increase. Gross margin is currently 71%. Annual customer churn is 9%. A recent survey indicates moderate price sensitivity among small customers. Enterprise customers account for 64% of recurring revenue.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,75,Review the AI recommendation before continuing.,A completed enterprise-customer renewal test shows 88% of enterprise revenue has already accepted the proposed price level for the next contract cycle; this evidence was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C5,MSOD08,C5,Pricing strategy,Premium Pricing Increase,high_qc_candidate,absent,correct,"Decision question: Will a 12% price increase improve contribution without creating churn losses large enough to offset the gain, given different customer segments and current margins?  Evidence: 1) Management is considering a 12% list-price increase. 2) Gross margin is currently 71%. 3) Annual customer churn is 9%. 4) A recent survey indicates moderate price sensitivity among small customers. 5) Enterprise customers account for 64% of recurring revenue.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,75,Review the AI recommendation before continuing.,No additional verified renewal evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C6,MSOD08,C6,Pricing strategy,Premium Pricing Increase,high_qc_candidate,absent,incorrect,"Decision question: Will a 12% price increase improve contribution without creating churn losses large enough to offset the gain, given different customer segments and current margins?  Evidence: 1) Management is considering a 12% list-price increase. 2) Gross margin is currently 71%. 3) Annual customer churn is 9%. 4) A recent survey indicates moderate price sensitivity among small customers. 5) Enterprise customers account for 64% of recurring revenue.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,75,Review the AI recommendation before continuing.,No additional verified renewal evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C7,MSOD08,C7,Pricing strategy,Premium Pricing Increase,high_qc_candidate,present,correct,"Decision question: Will a 12% price increase improve contribution without creating churn losses large enough to offset the gain, given different customer segments and current margins?  Evidence: 1) Management is considering a 12% list-price increase. 2) Gross margin is currently 71%. 3) Annual customer churn is 9%. 4) A recent survey indicates moderate price sensitivity among small customers. 5) Enterprise customers account for 64% of recurring revenue.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,75,Review the AI recommendation before continuing.,A completed enterprise-customer renewal test shows 88% of enterprise revenue has already accepted the proposed price level for the next contract cycle; this evidence was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD08_C8,MSOD08,C8,Pricing strategy,Premium Pricing Increase,high_qc_candidate,present,incorrect,"Decision question: Will a 12% price increase improve contribution without creating churn losses large enough to offset the gain, given different customer segments and current margins?  Evidence: 1) Management is considering a 12% list-price increase. 2) Gross margin is currently 71%. 3) Annual customer churn is 9%. 4) A recent survey indicates moderate price sensitivity among small customers. 5) Enterprise customers account for 64% of recurring revenue.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,75,Review the AI recommendation before continuing.,A completed enterprise-customer renewal test shows 88% of enterprise revenue has already accepted the proposed price level for the next contract cycle; this evidence was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C1,MSOD09,C1,Cybersecurity investment,Zero-Trust Security Rollout,low_qc_candidate,absent,correct,"The proposed programme costs ₹24 crore over two years. The firm recorded three material identity-related security incidents in the last 18 months. Estimated direct and recovery cost of the largest incident was ₹7 crore. Implementation affects approximately 6,500 users and 140 applications. The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,84,Review the AI recommendation before continuing.,No additional binding regulatory requirement is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C2,MSOD09,C2,Cybersecurity investment,Zero-Trust Security Rollout,low_qc_candidate,absent,incorrect,"The proposed programme costs ₹24 crore over two years. The firm recorded three material identity-related security incidents in the last 18 months. Estimated direct and recovery cost of the largest incident was ₹7 crore. Implementation affects approximately 6,500 users and 140 applications. The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,84,Review the AI recommendation before continuing.,No additional binding regulatory requirement is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C3,MSOD09,C3,Cybersecurity investment,Zero-Trust Security Rollout,low_qc_candidate,present,correct,"The proposed programme costs ₹24 crore over two years. The firm recorded three material identity-related security incidents in the last 18 months. Estimated direct and recovery cost of the largest incident was ₹7 crore. Implementation affects approximately 6,500 users and 140 applications. The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,84,Review the AI recommendation before continuing.,A regulator has issued a binding compliance direction requiring the core identity controls within 18 months; this direction was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C4,MSOD09,C4,Cybersecurity investment,Zero-Trust Security Rollout,low_qc_candidate,present,incorrect,"The proposed programme costs ₹24 crore over two years. The firm recorded three material identity-related security incidents in the last 18 months. Estimated direct and recovery cost of the largest incident was ₹7 crore. Implementation affects approximately 6,500 users and 140 applications. The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,84,Review the AI recommendation before continuing.,A regulator has issued a binding compliance direction requiring the core identity controls within 18 months; this direction was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C5,MSOD09,C5,Cybersecurity investment,Zero-Trust Security Rollout,high_qc_candidate,absent,correct,"Decision question: Does the reduction in identity-related risk justify the two-year zero-trust programme after accounting for platform replacement, scale, and recent incident costs?  Evidence: 1) The proposed programme costs ₹24 crore over two years. 2) The firm recorded three material identity-related security incidents in the last 18 months. 3) Estimated direct and recovery cost of the largest incident was ₹7 crore. 4) Implementation affects approximately 6,500 users and 140 applications. 5) The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,84,Review the AI recommendation before continuing.,No additional binding regulatory requirement is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C6,MSOD09,C6,Cybersecurity investment,Zero-Trust Security Rollout,high_qc_candidate,absent,incorrect,"Decision question: Does the reduction in identity-related risk justify the two-year zero-trust programme after accounting for platform replacement, scale, and recent incident costs?  Evidence: 1) The proposed programme costs ₹24 crore over two years. 2) The firm recorded three material identity-related security incidents in the last 18 months. 3) Estimated direct and recovery cost of the largest incident was ₹7 crore. 4) Implementation affects approximately 6,500 users and 140 applications. 5) The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,84,Review the AI recommendation before continuing.,No additional binding regulatory requirement is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C7,MSOD09,C7,Cybersecurity investment,Zero-Trust Security Rollout,high_qc_candidate,present,correct,"Decision question: Does the reduction in identity-related risk justify the two-year zero-trust programme after accounting for platform replacement, scale, and recent incident costs?  Evidence: 1) The proposed programme costs ₹24 crore over two years. 2) The firm recorded three material identity-related security incidents in the last 18 months. 3) Estimated direct and recovery cost of the largest incident was ₹7 crore. 4) Implementation affects approximately 6,500 users and 140 applications. 5) The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,84,Review the AI recommendation before continuing.,A regulator has issued a binding compliance direction requiring the core identity controls within 18 months; this direction was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD09_C8,MSOD09,C8,Cybersecurity investment,Zero-Trust Security Rollout,high_qc_candidate,present,incorrect,"Decision question: Does the reduction in identity-related risk justify the two-year zero-trust programme after accounting for platform replacement, scale, and recent incident costs?  Evidence: 1) The proposed programme costs ₹24 crore over two years. 2) The firm recorded three material identity-related security incidents in the last 18 months. 3) Estimated direct and recovery cost of the largest incident was ₹7 crore. 4) Implementation affects approximately 6,500 users and 140 applications. 5) The existing identity platform will require partial replacement.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,84,Review the AI recommendation before continuing.,A regulator has issued a binding compliance direction requiring the core identity controls within 18 months; this direction was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C1,MSOD10,C1,Logistics strategy,New Regional Distribution Centre,low_qc_candidate,absent,correct,The proposed distribution centre requires ₹65 crore in investment. Current average delivery time to the region is 3.8 days. The new centre is expected to reduce average delivery time to 2.1 days. Forecast logistics savings are ₹8 crore per year. Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,No additional verified service-level commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C2,MSOD10,C2,Logistics strategy,New Regional Distribution Centre,low_qc_candidate,absent,incorrect,The proposed distribution centre requires ₹65 crore in investment. Current average delivery time to the region is 3.8 days. The new centre is expected to reduce average delivery time to 2.1 days. Forecast logistics savings are ₹8 crore per year. Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,No additional verified service-level commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C3,MSOD10,C3,Logistics strategy,New Regional Distribution Centre,low_qc_candidate,present,correct,The proposed distribution centre requires ₹65 crore in investment. Current average delivery time to the region is 3.8 days. The new centre is expected to reduce average delivery time to 2.1 days. Forecast logistics savings are ₹8 crore per year. Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,The firm's largest regional customer has signed a five-year service agreement that requires delivery within 2.5 days and carries penalties for non-compliance; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C4,MSOD10,C4,Logistics strategy,New Regional Distribution Centre,low_qc_candidate,present,incorrect,The proposed distribution centre requires ₹65 crore in investment. Current average delivery time to the region is 3.8 days. The new centre is expected to reduce average delivery time to 2.1 days. Forecast logistics savings are ₹8 crore per year. Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,The firm's largest regional customer has signed a five-year service agreement that requires delivery within 2.5 days and carries penalties for non-compliance; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C5,MSOD10,C5,Logistics strategy,New Regional Distribution Centre,high_qc_candidate,absent,correct,Decision question: Do delivery improvements and logistics savings justify the ₹65 crore distribution-centre investment given moderate regional demand growth?  Evidence: 1) The proposed distribution centre requires ₹65 crore in investment. 2) Current average delivery time to the region is 3.8 days. 3) The new centre is expected to reduce average delivery time to 2.1 days. 4) Forecast logistics savings are ₹8 crore per year. 5) Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,No additional verified service-level commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C6,MSOD10,C6,Logistics strategy,New Regional Distribution Centre,high_qc_candidate,absent,incorrect,Decision question: Do delivery improvements and logistics savings justify the ₹65 crore distribution-centre investment given moderate regional demand growth?  Evidence: 1) The proposed distribution centre requires ₹65 crore in investment. 2) Current average delivery time to the region is 3.8 days. 3) The new centre is expected to reduce average delivery time to 2.1 days. 4) Forecast logistics savings are ₹8 crore per year. 5) Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,No additional verified service-level commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C7,MSOD10,C7,Logistics strategy,New Regional Distribution Centre,high_qc_candidate,present,correct,Decision question: Do delivery improvements and logistics savings justify the ₹65 crore distribution-centre investment given moderate regional demand growth?  Evidence: 1) The proposed distribution centre requires ₹65 crore in investment. 2) Current average delivery time to the region is 3.8 days. 3) The new centre is expected to reduce average delivery time to 2.1 days. 4) Forecast logistics savings are ₹8 crore per year. 5) Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,The firm's largest regional customer has signed a five-year service agreement that requires delivery within 2.5 days and carries penalties for non-compliance; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD10_C8,MSOD10,C8,Logistics strategy,New Regional Distribution Centre,high_qc_candidate,present,incorrect,Decision question: Do delivery improvements and logistics savings justify the ₹65 crore distribution-centre investment given moderate regional demand growth?  Evidence: 1) The proposed distribution centre requires ₹65 crore in investment. 2) Current average delivery time to the region is 3.8 days. 3) The new centre is expected to reduce average delivery time to 2.1 days. 4) Forecast logistics savings are ₹8 crore per year. 5) Regional demand has grown 4% annually over the last three years.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,The firm's largest regional customer has signed a five-year service agreement that requires delivery within 2.5 days and carries penalties for non-compliance; this agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
